Date,Opening,High,Low,Close,Volume
43535,11.92,12.48,11.79,12.48,0
43532,11.53,11.85,11.44,11.82,0
43531,12.15,12.39,11.79,11.93,0
43530,12.53,12.61,12.35,12.37,0
43529,12.41,12.71,12.4,12.71,0
43528,12.93,12.93,12.2,12.39,0
43525,12.56,13.02,12.56,12.81,0
43524,11.51,12.19,11.51,12.11,0
43523,11.99,12.1,11.75,12.03,0
43522,11.66,12.31,11.66,12.24,0
43521,12.04,12.11,11.87,11.87,0
43518,11.52,11.85,11.52,11.66,0
43517,11.76,11.76,11.39,11.39,0
43516,10.95,11.64,10.94,11.61,0
43515,10.7,10.98,10.62,10.98,0
43514,10.71,10.84,10.58,10.84,0
43511,9.24,10.81,9.24,10.81,0
43510,10.08,10.2,9.54,9.69,0
43509,10.04,10.15,9.75,10.12,0
43508,9.67,9.79,9.67,9.76,0
43507,8.82,9.2,8.82,9.01,0
43504,9.14,9.24,8.45,8.8,0
43503,10.43,10.45,9.19,9.32,0
43502,10.87,10.87,10.7,10.77,0
43501,9.97,11.13,9.97,11.12,0
43500,10.16,10.16,9.62,10.08,0
43497,10.18,10.34,10.01,10.14,0
43496,10.59,11,9.67,10.25,0
43495,10.5,10.6,10.31,10.57,0
43494,10.57,10.74,10.38,10.6,0
43493,10.87,10.87,10.42,10.77,0
43490,10.67,11.22,10.67,10.86,0
43489,9.87,10.28,9.86,10.27,0
43488,9.76,10.22,9.75,9.89,0
43487,9.91,10.2,9.59,9.63,0
43486,10.46,10.46,10.24,10.31,0
43483,9.47,10.8,9.47,10.8,0
43482,9,9.31,8.9,9.31,0
43481,9.62,9.62,9.21,9.38,0
43480,9.75,9.75,9.08,9.42,0
43479,9.06,9.38,9.05,9.38,0
43476,9.66,9.66,9.2,9.43,0
43475,9,9.67,8.94,9.67,0
43474,9.43,9.57,9.15,9.35,0
43473,8.57,9.3,8.57,9.09,0
43472,9.04,9.04,8.31,8.65,0
43469,7.77,8.92,7.74,8.92,0
43468,7.63,7.85,7.37,7.4,0
43467,7.8,8.35,7.45,8.22,0
43462,7.69,8.29,7.69,8.22,0
43461,8.31,8.38,7.2,7.63,0
43455,8.13,8.4,7.92,7.92,0
43454,8.4,8.51,7.84,8.03,0
43453,8.94,9.28,8.31,8.33,0
43452,8.65,9.22,8.65,8.97,0
43451,9.39,9.39,8.58,8.58,0
43448,9.19,9.38,8.72,9.25,0
43447,9.74,9.81,9.42,9.53,0
43446,9.23,9.7,9.04,9.62,0
43445,8.5,9.17,8.38,8.94,0
