Date,Opening,High,Low,Close,Volume
43535,1.77,1.92,1.75,1.92,0
43532,1.69,1.76,1.67,1.75,0
43531,1.83,1.89,1.75,1.77,0
43530,1.91,1.94,1.86,1.88,0
43529,1.88,1.96,1.88,1.96,0
43528,2.13,2.13,1.84,1.88,0
43525,1.99,2.15,1.99,2.1,0
43524,1.79,1.9,1.79,1.88,0
43523,1.89,1.92,1.84,1.91,0
43522,1.81,1.96,1.81,1.95,0
43521,1.89,1.91,1.86,1.86,0
43518,1.79,1.86,1.78,1.8,0
43517,1.83,1.83,1.77,1.77,0
43516,1.63,1.8,1.63,1.8,0
43515,1.55,1.63,1.55,1.63,0
43514,1.53,1.58,1.52,1.58,0
43511,1.23,1.56,1.23,1.56,0
43510,1.39,1.41,1.28,1.31,0
43509,1.37,1.4,1.32,1.4,0
43508,1.32,1.33,1.3,1.32,0
43507,1.16,1.24,1.16,1.19,0
43504,1.24,1.26,1.1,1.16,0
43503,1.52,1.52,1.25,1.27,0
43502,1.61,1.61,1.58,1.59,0
43501,1.4,1.67,1.4,1.67,0
43500,1.52,1.52,1.35,1.43,0
43497,1.57,1.6,1.5,1.51,0
43496,1.69,1.79,1.47,1.58,0
43495,1.69,1.7,1.64,1.69,0
43494,1.73,1.75,1.69,1.72,0
43493,1.8,1.8,1.7,1.78,0
43490,1.75,1.9,1.75,1.8,0
43489,1.61,1.71,1.59,1.67,0
43488,1.58,1.69,1.58,1.62,0
43487,1.63,1.69,1.55,1.56,0
43486,1.75,1.75,1.69,1.72,0
43483,1.56,1.84,1.56,1.84,0
43482,1.51,1.53,1.44,1.53,0
43481,1.71,1.71,1.58,1.59,0
43480,1.77,1.77,1.6,1.67,0
43479,1.61,1.68,1.61,1.68,0
43476,1.75,1.75,1.62,1.7,0
43475,1.51,1.75,1.5,1.75,0
43474,1.6,1.64,1.55,1.59,0
43473,1.39,1.55,1.39,1.52,0
43472,1.49,1.49,1.33,1.4,0
43469,1.29,1.47,1.28,1.47,0
43468,1.28,1.32,1.21,1.22,0
43467,1.33,1.43,1.24,1.41,0
43462,1.33,1.44,1.33,1.43,0
43461,1.46,1.51,1.24,1.33,0
43455,1.42,1.48,1.37,1.37,0
43454,1.48,1.51,1.36,1.4,0
43453,1.6,1.7,1.47,1.47,0
43452,1.53,1.66,1.53,1.61,0
43451,1.67,1.67,1.5,1.51,0
43448,1.62,1.66,1.52,1.64,0
43447,1.71,1.77,1.64,1.7,0
43446,1.59,1.7,1.54,1.68,0
43445,1.4,1.57,1.37,1.52,0
