Date,Opening,High,Low,Close,Volume
43535,14.19,14.8,14.04,14.8,0
43532,13.75,14.1,13.66,14.07,0
43531,14.44,14.7,14.04,14.19,833
43530,14.86,14.9,14.66,14.69,0
43529,14.71,15.05,14.7,15.05,0
43528,15.25,15.25,14.49,14.7,0
43525,14.87,15.36,14.87,15.12,0
43524,13.7,14.46,13.7,14.38,0
43523,14.23,14.35,13.97,14.28,0
43522,13.87,14.59,13.87,14.51,0
43521,14.3,14.37,14.1,14.1,0
43518,13.71,14.09,13.71,13.88,0
43517,13.98,13.98,13.57,13.57,0
43516,13.1,13.86,13.09,13.82,0
43515,12.82,13.13,12.75,13.13,0
43514,12.84,12.98,12.69,12.98,0
43511,11.22,12.96,11.22,12.96,0
43510,12.16,12.29,11.56,11.72,0
43509,12.12,12.24,11.78,12.2,0
43508,11.69,11.83,11.69,11.8,0
43507,10.73,11.16,10.73,10.96,0
43504,11.09,11.2,10.32,10.71,0
43503,12.53,12.55,11.15,11.29,0
43502,13.01,13.01,12.83,12.91,0
43501,12.02,13.3,12.02,13.29,0
43500,12.21,12.21,11.62,12.14,0
43497,12.21,12.39,12.04,12.18,0
43496,12.67,13.12,11.63,12.29,0
43495,12.55,12.67,12.35,12.64,0
43494,12.63,12.82,12.42,12.66,0
43493,12.96,12.96,12.46,12.84,0
43490,12.74,13.34,12.74,12.95,0
43489,11.83,12.3,11.83,12.29,0
43488,11.72,12.22,11.7,11.84,0
43487,11.88,12.21,11.52,11.57,0
43486,12.49,12.49,12.26,12.33,0
43483,11.38,12.89,11.38,12.89,0
43482,10.83,11.21,10.72,11.21,0
43481,11.49,11.49,11.05,11.27,0
43480,11.63,11.63,10.89,11.27,0
43479,10.86,11.22,10.84,11.22,0
43476,11.54,11.54,11,11.3,0
43475,10.78,11.63,10.64,11.63,0
43474,11.26,11.46,10.95,11.12,0
43473,10.31,11.12,10.31,10.88,0
43472,10.73,10.83,10.01,10.4,"1,666.00"
43469,9.38,10.72,9.25,10.72,0
43468,9.2,9.48,8.89,8.99,0
43467,9.38,10,9.01,9.86,0
43462,9.25,9.94,9.25,9.86,0
43461,9.97,10.05,8.7,9.19,0
43455,9.76,10.06,9.52,9.52,0
43454,10.07,10.19,9.44,9.64,0
43453,10.71,11.05,9.98,10,0
43452,10.39,11.04,10.39,10.76,0
43451,11.23,11.23,10.31,10.31,0
43448,11.01,11.2,10.48,11.08,0
43447,11.65,11.69,11.3,11.4,0
43446,11.08,11.61,10.87,11.52,0
43445,10.26,11.02,10.14,10.75,0
