Date,Opening,High,Low,Close,Volume
43535,23.66,24.35,23.4,24.35,0
43532,23.03,23.5,22.94,23.46,0
43531,23.84,24.31,23.42,23.62,0
43530,24.39,24.55,24.17,24.21,0
43529,24.27,24.66,24.19,24.62,0
43528,24.82,24.82,23.99,24.21,0
43525,24.36,24.95,24.36,24.68,0
43524,23.09,23.9,23.09,23.77,0
43523,23.63,23.69,23.26,23.6,0
43522,23.12,23.96,23.12,23.94,0
43521,23.66,23.74,23.37,23.37,0
43518,22.99,23.44,22.99,23.14,0
43517,23.37,23.37,22.76,22.76,0
43516,22.41,23.06,22.22,23.05,0
43515,21.85,22.2,21.6,22.18,0
43514,21.94,22.03,21.7,22.03,0
43511,19.83,22.02,19.83,22.02,0
43510,21.09,21.16,20.33,20.47,0
43509,20.8,21.15,20.58,21.09,0
43508,20.43,20.67,20.43,20.6,0
43507,19.12,19.7,19.12,19.49,0
43504,19.44,19.71,18.53,19.12,0
43503,21.49,21.53,19.75,19.82,0
43502,22.1,22.1,21.86,21.92,0
43501,20.91,22.45,20.91,22.45,0
43500,21.01,21.01,20.38,21.01,0
43497,21.1,21.25,20.79,21.02,0
43496,21.49,22.04,20.2,21.04,0
43495,21.36,21.51,21.06,21.46,0
43494,21.43,21.67,21.22,21.49,0
43493,21.79,21.79,21.34,21.7,0
43490,21.47,22.31,21.47,21.84,0
43489,20.29,20.98,20.29,20.98,0
43488,20.14,20.87,20.14,20.32,0
43487,20.47,20.91,19.97,20.15,0
43486,21.27,21.27,20.91,21.02,0
43483,19.88,21.76,19.88,21.76,0
43482,18.95,19.5,18.83,19.5,0
43481,19.5,19.53,19.11,19.49,0
43480,19.85,19.85,18.88,19.42,0
43479,18.86,19.31,18.8,19.31,0
43476,19.78,19.78,19.11,19.4,0
43475,18.86,19.87,18.86,19.87,0
43474,19.54,19.78,19.17,19.34,0
43473,18.3,19.37,18.3,19.03,0
43472,19,19,17.92,18.37,0
43469,16.96,18.83,16.82,18.83,0
43468,16.76,16.92,16.25,16.32,0
43467,16.88,17.71,16.35,17.57,0
43462,16.52,17.55,16.52,17.45,0
43461,17.64,17.64,15.78,16.56,0
43455,17.38,17.69,16.92,16.92,0
43454,17.71,17.93,16.88,17.19,0
43453,18.71,19.07,17.56,17.74,0
43452,18.14,19.13,18.14,18.63,0
43451,19.24,19.26,18.01,18.01,0
43448,18.88,19.45,18.34,19.1,0
43447,20.04,20.04,19.49,19.55,0
43446,19.17,19.92,18.97,19.8,0
43445,18.15,19.23,17.93,18.89,0
