Date,Opening,High,Low,Close,Volume
43535,13.52,14.12,13.38,14.12,0
43532,13.1,13.44,13.01,13.41,0
43531,13.76,14.03,13.38,13.53,0
43530,14.17,14.23,13.98,14.01,0
43529,14.03,14.37,14.02,14.37,0
43528,14.57,14.57,13.81,14.02,0
43525,14.19,14.67,14.19,14.44,0
43524,13.06,13.8,13.06,13.71,0
43523,13.57,13.69,13.32,13.61,0
43522,13.22,13.93,13.22,13.84,0
43521,13.64,13.71,13.45,13.45,0
43518,13.07,13.43,13.07,13.23,0
43517,13.32,13.32,12.94,12.94,0
43516,12.47,13.2,12.46,13.18,0
43515,12.19,12.5,12.12,12.5,0
43514,12.21,12.35,12.07,12.35,0
43511,10.63,12.32,10.63,12.32,0
43510,11.55,11.67,10.96,11.12,0
43509,11.5,11.62,11.18,11.58,0
43508,11.09,11.23,11.09,11.2,0
43507,10.16,10.58,10.16,10.38,0
43504,10.51,10.62,9.77,10.15,0
43503,11.91,11.93,10.57,10.7,0
43502,12.38,12.38,12.2,12.28,0
43501,11.42,12.66,11.42,12.64,0
43500,11.61,11.61,11.03,11.53,0
43497,11.61,11.79,11.44,11.58,0
43496,12.05,12.5,11.03,11.69,0
43495,11.95,12.06,11.75,12.02,0
43494,12.02,12.2,11.82,12.05,0
43493,12.3,12.3,11.99,12.22,0
43490,12.13,12.71,12.13,12.34,0
43489,11.25,11.7,11.24,11.69,0
43488,11.14,11.63,11.12,11.26,0
43487,11.3,11.61,10.95,11,0
43486,11.89,11.89,11.66,11.73,0
43483,10.82,12.28,10.82,12.28,0
43482,10.28,10.65,10.18,10.65,0
43481,10.94,10.94,10.5,10.71,0
43480,11.07,11.07,10.35,10.72,0
43479,10.33,10.68,10.31,10.68,0
43476,10.98,10.98,10.49,10.72,0
43475,10.28,10.99,10.22,10.99,0
43474,10.75,10.9,10.44,10.66,0
43473,9.82,10.62,9.82,10.38,0
43472,10.33,10.33,9.54,9.9,0
43469,8.93,10.21,8.89,10.21,0
43468,8.76,9.01,8.49,8.51,0
43467,8.94,9.56,8.57,9.41,0
43462,8.81,9.48,8.81,9.4,0
43461,9.51,9.59,8.29,8.76,0
43455,9.3,9.6,9.07,9.07,0
43454,9.6,9.72,8.99,9.2,0
43453,10.18,10.56,9.52,9.54,0
43452,9.87,10.5,9.87,10.23,0
43451,10.69,10.69,9.79,9.79,0
43448,10.47,10.65,9.96,10.54,0
43447,11.08,11.16,10.74,10.84,0
43446,10.53,11.04,10.33,10.95,0
43445,9.74,10.48,9.61,10.23,0
