Date,Opening,High,Low,Close,Volume
43535,21.24,21.9,20.99,21.9,0
43532,20.64,21.09,20.55,21.04,0
43531,21.41,21.85,21.04,21.2,0
43530,21.95,22.09,21.73,21.79,0
43529,21.83,22.2,21.75,22.17,0
43528,22.37,22.37,21.56,21.77,0
43525,21.92,22.49,21.92,22.24,0
43524,20.7,21.48,20.7,21.35,0
43523,21.22,21.27,20.87,21.19,0
43522,20.73,21.53,20.73,21.52,0
43521,21.25,21.33,20.97,20.97,0
43518,20.62,21.04,20.62,20.75,0
43517,20.98,20.98,20.39,20.39,0
43516,20.05,20.68,19.88,20.66,0
43515,19.51,19.85,19.28,19.84,0
43514,19.59,19.69,19.37,19.69,0
43511,17.58,19.67,17.58,19.67,0
43510,18.77,18.85,18.04,18.17,0
43509,18.49,18.83,18.28,18.77,0
43508,18.12,18.36,18.12,18.3,0
43507,16.9,17.48,16.9,17.24,0
43504,17.21,17.47,16.34,16.91,0
43503,19.16,19.19,17.51,17.58,0
43502,19.74,19.74,19.51,19.57,0
43501,18.6,20.08,18.6,20.08,0
43500,18.72,18.72,18.1,18.7,0
43497,18.8,18.95,18.5,18.71,0
43496,19.19,19.71,17.94,18.76,0
43495,19.06,19.2,18.78,19.16,0
43494,19.14,19.38,18.94,19.2,0
43493,19.54,19.54,18.96,19.4,0
43490,19.18,19.98,19.18,19.53,0
43489,18.06,18.7,18.06,18.7,0
43488,17.92,18.61,17.92,18.09,0
43487,18.23,18.65,17.74,17.94,0
43486,18.98,18.98,18.65,18.75,0
43483,17.67,19.45,17.67,19.45,0
43482,16.8,17.31,16.69,17.31,0
43481,17.36,17.36,16.97,17.32,0
43480,17.69,17.69,16.76,17.27,0
43479,16.75,17.18,16.69,17.18,0
43476,17.61,17.61,16.98,17.27,0
43475,16.73,17.7,16.73,17.7,0
43474,17.36,17.61,17.06,17.19,0
43473,16.19,17.2,16.19,16.89,0
43472,16.86,16.86,15.83,16.26,0
43469,14.95,16.7,14.82,16.7,0
43468,14.77,14.92,14.28,14.35,0
43467,14.89,15.67,14.38,15.53,0
43462,14.57,15.52,14.57,15.43,0
43461,15.6,15.62,13.87,14.61,0
43455,15.36,15.66,14.92,14.92,0
43454,15.67,15.88,14.88,15.19,0
43453,16.61,16.95,15.53,15.71,0
43452,16.07,17.02,16.07,16.53,0
43451,17.11,17.12,15.97,15.97,0
43448,16.76,17.3,16.24,16.97,0
43447,17.85,17.85,17.32,17.38,0
43446,17.02,17.74,16.83,17.61,0
43445,16.05,17.06,15.84,16.8,0
