Date,Opening,High,Low,Close,Volume
43535,27.01,27.73,26.73,27.73,0
43532,26.35,26.84,26.25,26.78,0
43531,27.19,27.69,26.76,26.96,0
43530,27.77,27.93,27.54,27.61,0
43529,27.64,28.05,27.56,28.01,0
43528,28.2,28.2,27.35,27.58,0
43525,27.73,28.34,27.73,28.06,0
43524,26.41,27.25,26.41,27.11,0
43523,26.97,27,26.57,26.92,0
43522,26.43,27.32,26.43,27.29,0
43521,27.01,27.09,26.7,26.7,0
43518,26.32,26.78,26.32,26.51,0
43517,26.69,26.69,26.04,26.04,0
43516,25.67,26.38,25.47,26.35,0
43515,25.11,25.47,24.78,25.46,0
43514,25.21,25.31,24.95,25.31,0
43511,23,25.29,23,25.29,0
43510,24.32,24.41,23.5,23.66,0
43509,24.02,24.39,23.78,24.32,0
43508,23.62,23.88,23.62,23.8,0
43507,22.24,22.88,22.24,22.63,0
43504,22.58,22.87,21.62,22.24,0
43503,24.75,24.77,22.91,23,0
43502,25.38,25.38,25.12,25.19,0
43501,24.13,25.75,24.13,25.75,0
43500,24.23,24.23,23.58,24.23,0
43497,24.3,24.46,23.98,24.23,0
43496,24.71,25.28,23.37,24.24,0
43495,24.56,24.74,24.26,24.67,0
43494,24.64,24.9,24.42,24.69,0
43493,25.08,25.08,24.44,24.92,0
43490,24.68,25.56,24.68,25.07,0
43489,23.42,24.15,23.42,24.15,0
43488,23.27,24.03,23.27,23.45,0
43487,23.61,24.08,23.07,23.3,0
43486,24.46,24.46,24.08,24.2,0
43483,22.99,24.98,22.99,24.98,0
43482,21.97,22.58,21.85,22.58,0
43481,22.53,22.59,22.13,22.55,0
43480,22.9,22.9,21.86,22.45,0
43479,21.84,22.32,21.77,22.32,0
43476,22.84,22.84,22.15,22.42,0
43475,21.87,22.95,21.87,22.95,0
43474,22.6,22.87,22.25,22.4,0
43473,21.29,22.43,21.29,22.06,0
43472,22.03,22.03,20.88,21.36,0
43469,19.82,21.85,19.67,21.85,0
43468,19.6,19.77,19.05,19.13,0
43467,19.71,20.62,19.15,20.46,0
43462,19.31,20.42,19.31,20.31,0
43461,20.53,20.53,18.49,19.37,0
43455,20.26,20.58,19.75,19.75,0
43454,20.61,20.85,19.72,20.06,0
43453,21.68,22.06,20.47,20.67,0
43452,21.07,22.14,21.07,21.59,0
43451,22.28,22.28,20.96,20.96,0
43448,21.88,22.48,21.3,22.11,0
43447,23.13,23.13,22.53,22.59,0
43446,22.2,23,21.99,22.87,0
43445,21.13,22.27,20.89,21.95,0
