Date,Opening,High,Low,Close,Volume
43535,13.19,13.78,13.05,13.78,0
43532,12.78,13.11,12.68,13.08,0
43531,13.43,13.69,13.05,13.2,0
43530,13.84,13.88,13.65,13.67,0
43529,13.7,14.03,13.69,14.03,0
43528,14.23,14.23,13.48,13.69,0
43525,13.86,14.34,13.86,14.11,0
43524,12.74,13.47,12.74,13.38,0
43523,13.25,13.36,13,13.29,0
43522,12.9,13.58,12.9,13.52,0
43521,13.31,13.38,13.12,13.12,0
43518,12.75,13.1,12.75,12.91,0
43517,13,13,12.62,12.62,0
43516,12.15,12.88,12.15,12.86,0
43515,11.89,12.19,11.81,12.19,0
43514,11.9,12.04,11.77,12.04,0
43511,10.34,12.01,10.34,12.01,0
43510,11.24,11.37,10.65,10.82,0
43509,11.2,11.32,10.89,11.28,0
43508,10.79,10.94,10.79,10.91,0
43507,9.88,10.3,9.88,10.1,0
43504,10.23,10.34,9.5,9.87,0
43503,11.6,11.62,10.29,10.41,0
43502,12.07,12.07,11.9,11.97,0
43501,11.12,12.34,11.12,12.33,0
43500,11.31,11.31,10.73,11.23,0
43497,11.32,11.49,11.14,11.28,0
43496,11.75,12.19,10.76,11.39,0
43495,11.65,11.77,11.45,11.73,0
43494,11.73,11.9,11.52,11.75,0
43493,12.04,12.04,11.56,11.93,0
43490,11.82,12.41,11.82,12.04,0
43489,10.97,11.4,10.96,11.4,0
43488,10.85,11.34,10.85,10.98,0
43487,11.01,11.32,10.67,10.72,0
43486,11.6,11.6,11.37,11.44,0
43483,10.54,11.98,10.54,11.98,0
43482,10.02,10.37,9.91,10.37,0
43481,10.66,10.66,10.23,10.44,0
43480,10.8,10.8,10.09,10.45,0
43479,10.06,10.4,10.05,10.4,0
43476,10.71,10.71,10.22,10.46,0
43475,10.01,10.72,9.96,10.72,0
43474,10.47,10.63,10.17,10.39,0
43473,9.56,10.34,9.56,10.12,0
43472,10.06,10.06,9.29,9.64,0
43469,8.69,9.94,8.65,9.94,0
43468,8.52,8.77,8.25,8.28,0
43467,8.7,9.3,8.34,9.16,0
43462,8.58,9.23,8.58,9.15,0
43461,9.26,9.32,8.06,8.51,0
43455,9.06,9.35,8.83,8.83,0
43454,9.36,9.47,8.75,8.95,0
43453,9.93,10.29,9.27,9.29,0
43452,9.62,10.23,9.62,9.97,0
43451,10.42,10.42,9.54,9.54,0
43448,10.21,10.39,9.7,10.27,0
43447,10.81,10.85,10.47,10.58,0
43446,10.26,10.76,10.06,10.68,0
43445,9.48,10.22,9.36,9.97,0
