Date,Opening,High,Low,Close,Volume
43535,14.53,15.14,14.38,15.14,0
43532,14.09,14.43,13.99,14.41,0
43531,14.78,15.05,14.38,14.53,0
43530,15.2,15.25,15,15.03,0
43529,15.05,15.4,15.04,15.4,0
43528,15.6,15.6,14.83,15.05,0
43525,15.21,15.71,15.21,15.46,0
43524,14.03,14.8,14.03,14.71,0
43523,14.57,14.67,14.29,14.61,0
43522,14.2,14.93,14.2,14.85,0
43521,14.64,14.71,14.44,14.44,0
43518,14.04,14.42,14.04,14.22,0
43517,14.31,14.31,13.91,13.91,0
43516,13.42,14.19,13.41,14.15,0
43515,13.14,13.45,13.06,13.45,0
43514,13.16,13.3,13.01,13.3,0
43511,11.52,13.28,11.52,13.28,0
43510,12.47,12.6,11.86,12.03,0
43509,12.43,12.55,12.09,12.51,0
43508,11.99,12.14,11.99,12.11,0
43507,11.02,11.46,11.02,11.25,0
43504,11.38,11.5,10.61,11,0
43503,12.84,12.86,11.44,11.59,0
43502,13.34,13.34,13.15,13.23,0
43501,12.33,13.62,12.33,13.61,0
43500,12.52,12.52,11.92,12.45,0
43497,12.52,12.7,12.35,12.49,0
43496,12.98,13.44,11.93,12.6,0
43495,12.86,12.99,12.64,12.95,0
43494,12.94,13.13,12.73,12.97,0
43493,13.28,13.28,12.77,13.15,0
43490,13.05,13.66,13.05,13.27,120
43489,12.13,12.6,12.13,12.59,0
43488,12.01,12.52,12,12.15,0
43487,12.18,12.51,11.81,11.87,0
43486,12.8,12.8,12.56,12.64,0
43483,11.67,13.21,11.67,13.21,0
43482,11.11,11.5,11,11.5,0
43481,11.78,11.78,11.33,11.55,0
43480,11.91,11.91,11.17,11.55,0
43479,11.13,11.49,11.12,11.49,0
43476,11.83,11.83,11.28,11.59,0
43475,11.1,11.91,10.96,11.91,0
43474,11.59,11.79,11.31,11.44,0
43473,10.62,11.44,10.62,11.21,0
43472,11.15,11.15,10.32,10.71,0
43469,9.67,11.04,9.54,11.04,0
43468,9.49,9.78,9.18,9.28,0
43467,9.67,10.31,9.25,10.16,0
43462,9.54,10.22,9.54,10.08,0
43461,10.27,10.45,8.85,9.61,0
43455,10.06,10.43,9.74,9.82,0
43454,10.37,10.56,9.66,9.88,0
43453,10.98,11.38,10.32,10.32,0
43452,10.66,11.38,10.66,11.08,0
43451,11.51,11.51,10.52,10.52,0
43448,11.29,11.66,10.75,11.31,0
43447,11.94,12.07,11.55,11.74,0
43446,11.36,11.92,11.12,11.81,0
43445,11.3,11.3,11.3,11.3,0
