Date,Opening,High,Low,Close,Volume
43535,6.15,6.53,6.06,6.53,0
43532,5.89,6.1,5.84,6.08,0
43531,6.3,6.46,6.06,6.15,0
43530,6.56,6.59,6.43,6.45,0
43529,6.49,6.69,6.49,6.69,0
43528,6.92,6.92,6.36,6.48,0
43525,6.64,6.98,6.64,6.84,0
43524,5.98,6.39,5.98,6.34,0
43523,6.27,6.36,6.13,6.31,0
43522,6.06,6.48,6.06,6.44,0
43521,6.3,6.36,6.2,6.2,0
43518,5.98,6.19,5.98,6.06,0
43517,6.12,6.12,5.91,5.91,0
43516,5.59,6.05,5.59,6.04,0
43515,5.4,5.61,5.38,5.61,0
43514,5.39,5.49,5.33,5.49,0
43511,4.47,5.46,4.47,5.46,0
43510,4.99,5.06,4.65,4.74,0
43509,4.95,5.02,4.78,5.01,0
43508,4.73,4.8,4.73,4.78,0
43507,4.24,4.47,4.24,4.34,0
43504,4.45,4.51,4.04,4.23,0
43503,5.25,5.26,4.48,4.56,0
43502,5.52,5.52,5.42,5.47,0
43501,4.95,5.69,4.95,5.68,0
43500,5.13,5.13,4.74,5.01,0
43497,5.18,5.27,5.04,5.11,0
43496,5.47,5.73,4.87,5.22,0
43495,5.42,5.48,5.3,5.45,0
43494,5.49,5.57,5.36,5.49,0
43493,5.68,5.68,5.39,5.61,0
43490,5.54,5.91,5.54,5.67,0
43489,5.07,5.33,5.05,5.29,0
43488,5,5.29,5,5.08,0
43487,5.09,5.27,4.89,4.92,0
43486,5.43,5.43,5.29,5.34,0
43483,4.84,5.65,4.84,5.65,0
43482,4.6,4.75,4.5,4.75,0
43481,5.05,5.05,4.76,4.84,0
43480,5.15,5.15,4.72,4.92,0
43479,4.72,4.92,4.72,4.92,0
43476,5.09,5.09,4.79,4.95,0
43475,4.62,5.09,4.59,5.09,0
43474,4.88,4.97,4.71,4.84,0
43473,4.34,4.78,4.34,4.67,0
43472,4.62,4.62,4.17,4.38,0
43469,3.92,4.55,3.89,4.55,0
43468,3.86,3.98,3.69,3.7,0
43467,3.97,4.28,3.74,4.2,0
43462,3.93,4.27,3.93,4.22,0
43461,4.29,4.36,3.64,3.89,0
43455,4.18,4.34,4.05,4.05,0
43454,4.34,4.41,4.01,4.12,0
43453,4.67,4.89,4.28,4.3,0
43452,4.49,4.84,4.49,4.69,0
43451,4.92,4.92,4.44,4.44,0
43448,4.79,4.9,4.5,4.83,0
43447,5.1,5.19,4.9,5,0
43446,4.77,5.07,4.66,5.02,0
43445,4.3,4.74,4.23,4.59,0
