Date,Opening,High,Low,Close,Volume
43535,4.78,5.1,4.71,5.1,0
43532,4.57,4.74,4.53,4.73,0
43531,4.91,5.04,4.71,4.78,0
43530,5.13,5.15,5.02,5.03,0
43529,5.07,5.24,5.07,5.24,0
43528,5.46,5.46,4.96,5.07,0
43525,5.21,5.52,5.21,5.4,0
43524,4.67,5.01,4.67,4.96,0
43523,4.92,5,4.8,4.96,0
43522,4.74,5.09,4.74,5.06,0
43521,4.94,4.99,4.86,4.86,0
43518,4.68,4.85,4.68,4.74,0
43517,4.79,4.79,4.62,4.62,0
43516,4.34,4.73,4.34,4.72,0
43515,4.18,4.36,4.17,4.36,0
43514,4.17,4.26,4.12,4.26,0
43511,3.42,4.23,3.42,4.23,0
43510,3.84,3.89,3.56,3.64,0
43509,3.81,3.86,3.66,3.86,0
43508,3.63,3.68,3.62,3.67,0
43507,3.24,3.42,3.24,3.31,0
43504,3.41,3.46,3.07,3.23,0
43503,4.07,4.07,3.44,3.5,0
43502,4.29,4.29,4.21,4.25,0
43501,3.82,4.43,3.82,4.42,0
43500,3.98,3.98,3.65,3.87,0
43497,4.04,4.12,3.92,3.97,0
43496,4.29,4.5,3.8,4.08,0
43495,4.26,4.29,4.15,4.28,0
43494,4.31,4.38,4.21,4.31,0
43493,4.47,4.47,4.23,4.41,0
43490,4.36,4.68,4.36,4.47,0
43489,3.99,4.2,3.96,4.15,0
43488,3.92,4.17,3.92,3.99,0
43487,4,4.15,3.83,3.86,0
43486,4.28,4.28,4.17,4.21,0
43483,3.8,4.47,3.8,4.47,0
43482,3.62,3.73,3.53,3.73,0
43481,4.01,4.01,3.76,3.81,0
43480,4.1,4.1,3.75,3.91,0
43479,3.75,3.92,3.75,3.92,0
43476,4.05,4.05,3.8,3.94,0
43475,3.64,4.05,3.62,4.05,0
43474,3.85,3.94,3.72,3.82,0
43473,3.4,3.76,3.4,3.68,0
43472,3.63,3.63,3.27,3.44,0
43469,3.08,3.58,3.06,3.58,0
43468,3.03,3.14,2.89,2.91,0
43467,3.13,3.38,2.94,3.32,0
43462,3.11,3.37,3.11,3.34,0
43461,3.39,3.46,2.87,3.08,0
43455,3.31,3.44,3.2,3.2,0
43454,3.45,3.5,3.17,3.26,0
43453,3.71,3.9,3.41,3.41,0
43452,3.56,3.85,3.56,3.73,0
43451,3.91,3.91,3.52,3.52,0
43448,3.8,3.89,3.56,3.84,0
43447,4.04,4.12,3.88,3.97,0
43446,3.77,4.02,3.68,3.98,0
43445,3.38,3.74,3.32,3.63,0
