Date,Opening,High,Low,Close,Volume
43535,13.85,14.46,13.71,14.46,0
43532,13.42,13.77,13.34,13.74,0
43531,14.1,14.36,13.71,13.86,0
43530,14.51,14.57,14.32,14.34,0
43529,14.37,14.71,14.36,14.71,0
43528,14.91,14.91,14.15,14.36,0
43525,14.53,15.02,14.53,14.78,0
43524,13.38,14.13,13.38,14.04,0
43523,13.9,14.02,13.64,13.94,0
43522,13.54,14.26,13.54,14.18,0
43521,13.97,14.04,13.77,13.77,0
43518,13.39,13.75,13.39,13.56,0
43517,13.65,13.65,13.26,13.26,0
43516,12.78,13.53,12.77,13.5,0
43515,12.51,12.81,12.43,12.81,0
43514,12.53,12.66,12.38,12.66,0
43511,10.92,12.64,10.92,12.64,0
43510,11.85,11.98,11.26,11.42,0
43509,11.81,11.93,11.48,11.89,0
43508,11.39,11.53,11.39,11.5,0
43507,10.45,10.87,10.45,10.67,0
43504,10.8,10.91,10.05,10.43,0
43503,12.21,12.23,10.85,10.99,0
43502,12.69,12.69,12.52,12.59,0
43501,11.72,12.97,11.72,12.96,0
43500,11.91,11.91,11.33,11.83,0
43497,11.91,12.09,11.74,11.88,0
43496,12.36,12.81,11.32,11.99,0
43495,12.25,12.37,12.05,12.33,0
43494,12.33,12.51,12.12,12.35,0
43493,12.61,12.61,12.29,12.53,0
43490,12.43,13.02,12.43,12.64,0
43489,11.54,12,11.53,11.99,0
43488,11.43,11.92,11.4,11.55,0
43487,11.59,11.91,11.23,11.28,0
43486,12.19,12.19,11.96,12.03,0
43483,11.1,12.58,11.1,12.58,0
43482,10.55,10.93,10.45,10.93,0
43481,11.21,11.21,10.77,10.98,0
43480,11.35,11.35,10.62,11,0
43479,10.59,10.94,10.58,10.94,0
43476,11.26,11.26,10.76,11,0
43475,10.55,11.27,10.49,11.27,0
43474,11.02,11.18,10.71,10.94,0
43473,10.08,10.89,10.08,10.66,0
43472,10.6,10.6,9.8,10.17,0
43469,9.17,10.47,9.13,10.47,0
43468,8.99,9.25,8.72,8.75,0
43467,9.18,9.81,8.81,9.66,0
43462,9.05,9.73,9.05,9.65,0
43461,9.76,9.84,8.52,8.99,0
43455,9.55,9.85,9.31,9.31,0
43454,9.86,9.98,9.23,9.44,0
43453,10.45,10.83,9.77,9.79,0
43452,10.13,10.76,10.13,10.49,0
43451,10.96,10.96,10.05,10.05,0
43448,10.74,10.93,10.22,10.81,0
43447,11.36,11.44,11.01,11.11,0
43446,10.8,11.32,10.6,11.23,0
43445,10,10.74,9.88,10.48,0
