Strike,Implied Volatility
9100,0.209206
9500,0.208079
9800,0.206735
10700,0.187564
10750,0.185756
10800,0.184
10850,0.182325
10900,0.180621
11100,0.174037
11400,0.168286
12200,0.190626
12550,0.206748
13750,0.170817
16000,0.145736
