Strike,Implied Volatility
9100,0.223287
9500,0.2183
9800,0.214018
10700,0.190995
10750,0.189236
10800,0.187573
10850,0.186026
10900,0.184457
11100,0.178509
11400,0.173874
12200,0.193936
12550,0.206609
13750,0.17233
16000,0.149882
