Strike,Implied Volatility
9100,0.213424
9500,0.21053
9800,0.203597
10700,0.179557
10750,0.178235
10800,0.178676
10850,0.178689
10900,0.178831
11100,0.181583
11400,0.191015
12200,0.215195
12550,0.209616
13750,0.16643
16000,0.162179
