Strike,Implied Volatility
9100,0.225507
9500,0.218863
9800,0.212099
10700,0.187401
10750,0.185752
10800,0.185621
10850,0.1848
10900,0.184222
11100,0.183526
11400,0.186902
12200,0.206047
12550,0.204249
13750,0.164713
16000,0.157804
