Strike,Implied Volatility
9100,0.213331
9500,0.209762
9800,0.206064
10700,0.182862
10750,0.181175
10800,0.179607
10850,0.178019
10900,0.176589
11100,0.171256
11400,0.16814
12200,0.192944
12550,0.201158
13750,0.153511
16000,0.140239
