Strike,Implied Volatility
9100,0.212064
9500,0.208086
9800,0.205708
10700,0.191699
10750,0.190333
10800,0.188985
10850,0.187411
10900,0.185995
11100,0.179551
11400,0.17059
12200,0.171942
12550,0.18571
13750,0.168945
16000,0.137923
